location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20180130T0300,-3.61,75.0,1012.0,0.0,0.0,100.0,0.0,0.0,100.0,31.197247,267.55295,45.770992,267.29514,50.196445,265.47525,60.28253,262.4506,93.0,1334.0,-6.03,-18.23
20180130T0400,-3.73,75.0,1012.3,0.0,0.0,62.0,0.0,0.0,62.0,32.244305,271.42026,47.56906,272.60257,50.761276,270.40634,61.957664,268.00214,95.0,1336.0,-6.21,-18.25
20180130T0500,-3.69,75.0,1013.1,0.0,0.0,67.0,0.0,0.0,67.0,32.21678,277.125,47.555443,277.394,53.15946,275.44034,67.3354,271.2254,101.0,1342.0,-6.22,-18.24
20180130T0600,-3.63,75.0,1013.4,0.0,0.0,100.0,0.0,0.0,100.0,32.02345,278.1301,47.65345,278.25253,52.557533,276.68692,64.82499,271.59113,104.0,1345.0,-6.18,-18.18
20180130T0700,-3.56,78.0,1014.1,0.0,0.0,100.0,0.0,0.0,100.0,28.978884,276.8637,42.420467,276.82346,46.640495,275.31454,56.170383,268.89832,109.0,1351.0,-6.06,-18.0
20180130T0800,-3.6,80.0,1014.8,0.2,0.14,100.0,0.0,0.0,100.0,24.845284,274.30447,36.088093,274.00418,38.535137,271.60602,45.680298,263.21103,115.0,1357.0,-6.03,-17.84
20180130T0900,-3.58,84.0,1015.5,0.3,0.21000001,100.0,0.0,0.0,100.0,20.780909,270.73453,29.88217,270.69028,33.151287,267.51044,36.432995,258.02386,120.0,1363.0,-5.94,-17.58
20180130T1000,-3.46,88.0,1015.9,0.4,0.28,100.0,0.0,0.0,100.0,18.931278,272.41953,26.302181,272.3533,30.703587,265.29214,33.26252,260.02795,123.0,1367.0,-5.8,-17.4
20180130T1100,-3.51,89.0,1016.2,0.5,0.35,100.0,0.0,0.0,100.0,17.608616,287.61258,23.565567,288.71173,27.44513,274.51398,29.5551,267.2073,126.0,1370.0,-5.81,-17.25
20180130T1200,-3.16,75.0,1016.8,0.1,0.07,100.0,0.0,0.0,100.0,19.1808,270.0,27.72,270.0,31.526215,263.44305,44.80373,254.62375,130.0,1375.0,-5.47,-16.98
20180130T1300,-3.16,76.0,1017.1,0.1,0.07,100.0,0.0,0.0,100.0,18.1152,270.0,26.282465,269.21518,30.244286,261.0983,44.554268,254.0546,132.0,1378.0,-5.44,-16.95
20180130T1400,-3.17,78.0,1017.3,0.2,0.14,100.0,0.0,0.0,100.0,17.334433,272.64255,24.863468,272.48956,28.054604,261.14203,43.034687,250.95877,134.0,1380.0,-5.45,-16.83
20180130T1500,-3.23,79.0,1017.6,0.1,0.07,100.0,0.0,0.0,100.0,15.3151045,283.06934,21.398056,282.63336,25.099514,261.7537,42.009083,252.03087,137.0,1383.0,-5.45,-16.71
20180130T1600,-3.24,82.0,1017.9,0.2,0.14,100.0,0.0,0.0,100.0,15.59066,289.98312,21.407139,289.6538,23.14103,264.64417,43.490025,252.16498,139.0,1385.0,-5.5,-16.67
20180130T1700,-3.22,81.0,1018.3,0.2,0.14,100.0,0.0,0.0,100.0,16.5961,288.7258,23.000591,287.30054,24.609364,264.12262,44.291706,250.53415,142.0,1388.0,-5.53,-16.74
20180130T1800,-3.08,82.0,1018.7,0.2,0.14,100.0,0.0,0.0,100.0,18.44327,280.82303,26.6327,279.335,28.856194,266.42368,39.89508,259.60266,145.0,1390.0,-5.52,-16.89
20180130T1900,-2.98,81.0,1019.1,0.2,0.14,100.0,0.0,0.0,100.0,22.535612,276.78897,32.91983,275.64825,37.806854,268.90878,46.176926,261.93307,148.0,1393.0,-5.6,-17.03
20180130T2000,-2.9,78.0,1019.6,0.2,0.14,100.0,0.0,0.0,100.0,24.845284,274.30447,36.80637,273.9259,42.12,270.0,54.68683,260.90973,152.0,1397.0,-5.62,-17.15
20180130T2100,-2.81,76.0,1020.3,0.2,0.14,100.0,0.0,29.0,100.0,26.156084,273.50354,38.60234,273.74298,42.121536,270.4897,50.14866,262.16074,157.0,1402.0,-5.62,-17.29
20180130T2200,-2.73,75.0,1020.7,0.1,0.07,100.0,0.0,10.0,100.0,27.174105,270.5617,40.321606,270.51157,44.66322,268.1524,47.070602,263.8534,160.0,1404.0,-5.62,-17.39
20180130T2300,-2.77,74.0,1021.2,0.0,0.0,62.0,0.0,0.0,62.0,25.574402,270.0,37.079998,270.0,41.406258,269.00366,42.839996,270.0,164.0,1408.0,-5.63,-17.26
20180131T0000,-2.49,70.0,1021.8,0.0,0.0,100.0,0.0,0.0,100.0,23.201283,272.63245,33.510952,272.46283,37.44,270.0,44.067295,274.6859,169.0,1415.0,-5.29,-17.21
20180131T0100,-2.4,69.0,1022.1,0.0,0.0,100.0,0.0,0.0,100.0,20.623213,275.93152,29.986076,274.82077,33.857227,271.82797,44.16864,276.08234,171.0,1418.0,-5.14,-17.08
20180131T0200,-2.32,69.0,1022.1,0.0,0.0,100.0,0.0,0.0,100.0,15.737906,272.91083,22.7057,272.72632,29.024128,262.875,40.908737,263.93823,171.0,1420.0,-4.89,-16.61
20180131T0300,-2.29,69.0,1021.8,0.0,0.0,100.0,0.0,0.0,100.0,11.830079,262.23483,17.057314,262.725,24.795612,244.17902,36.58918,246.20923,170.0,1420.0,-4.62,-16.06
20180131T0400,-1.89,70.0,1021.6,0.0,0.0,100.0,0.0,0.0,100.0,8.665169,225.0,12.475961,223.83087,22.104116,217.05653,36.44722,237.09476,168.0,1419.0,-4.29,-15.33
20180131T0500,-1.58,68.0,1021.6,0.0,0.0,100.0,0.0,0.0,100.0,14.388066,181.06091,20.883104,180.98776,26.121714,187.12502,35.384537,225.4122,168.0,1421.0,-3.9,-14.74
20180131T0600,-0.77,68.0,1021.0,0.0,0.0,100.0,0.0,0.0,100.0,21.68339,174.35945,32.2034,174.22568,37.45557,178.3477,43.588253,210.80145,164.0,1420.0,-3.32,-14.02
20180131T0700,0.0,68.0,1020.2,0.0,0.0,79.0,0.0,0.0,79.0,26.070477,168.80489,38.833305,169.3151,43.2015,179.52255,58.852013,209.70142,158.0,1419.0,-2.5,-12.84
20180131T0800,0.35,78.0,1019.7,0.0,0.0,100.0,0.0,0.0,100.0,32.02345,171.8699,48.316505,172.29251,58.681103,179.6485,68.02476,203.71619,155.0,1419.0,-2.18,-12.04
20180131T0900,0.96,95.0,1019.3,0.9,0.63,100.0,0.0,0.0,100.0,34.385212,192.52881,54.317066,193.02309,73.25801,205.93546,73.23678,215.79959,152.0,1421.0,-1.39,-11.85
20180131T1000,1.05,67.0,1019.8,0.1,0.0,100.0,0.0,0.0,100.0,34.86178,239.71205,53.843773,238.11644,60.054214,232.30576,67.27281,227.60257,156.0,1420.0,-1.47,-13.39
20180131T1100,0.58,80.0,1019.8,0.0,0.0,100.0,0.0,0.0,100.0,36.45886,238.74905,55.380356,239.10011,59.439255,245.29758,56.22688,241.30171,156.0,1419.0,-2.02,-12.98
20180131T1200,1.27,73.0,1020.7,0.2,0.14,100.0,0.0,0.0,100.0,27.812975,196.69925,41.343613,196.69925,46.601578,200.81506,46.226017,217.40536,163.0,1429.0,-1.19,-12.53
20180131T1300,1.27,73.0,1020.7,0.2,0.14,100.0,0.0,0.0,100.0,27.194992,212.60034,40.14605,212.55,44.15103,215.37476,43.488533,233.41469,163.0,1429.0,-1.16,-12.56
20180131T1400,0.78,82.0,1020.8,0.3,0.21000001,100.0,0.0,0.0,100.0,25.62153,242.10274,37.998337,244.16324,40.846912,235.04935,40.633778,240.25513,163.0,1429.0,-1.73,-12.61
20180131T1500,0.45,72.0,1021.2,0.2,0.0,100.0,0.0,0.0,100.0,23.170675,261.4041,33.805515,262.04248,39.04797,257.75766,47.066467,248.93103,167.0,1429.0,-2.02,-13.25
20180131T1600,0.48,67.0,1021.7,0.0,0.0,40.0,0.0,0.0,40.0,24.798107,267.5372,37.16553,266.1121,39.254856,258.89618,52.010967,242.37076,170.0,1432.0,-2.11,-13.66
20180131T1700,-0.63,73.0,1022.8,0.0,0.0,10.0,0.0,0.0,10.0,24.06611,296.2814,34.942265,297.6211,36.102455,260.81946,47.367023,250.46335,178.0,1435.0,-3.39,-14.25
20180131T1800,-1.22,68.0,1023.7,0.0,0.0,10.0,0.0,0.0,10.0,25.195581,303.35403,37.247387,302.7685,31.526215,276.55695,38.90166,258.79407,184.0,1438.0,-4.15,-14.69
20180131T1900,-1.76,69.0,1024.7,0.0,0.0,10.0,0.0,0.0,10.0,25.514668,310.34174,37.33601,309.52264,34.454838,280.8403,40.94832,263.43732,192.0,1442.0,-4.81,-15.15
20180131T2000,-2.24,73.0,1025.3,0.0,0.0,10.0,0.0,0.0,10.0,25.054348,314.5692,36.40275,314.59937,39.60818,281.00354,50.251923,261.34747,196.0,1445.0,-5.4,-15.54
20180131T2100,-2.6,79.0,1026.0,0.0,0.0,70.0,0.0,0.0,70.0,24.012972,310.04974,34.75445,309.95755,44.039345,274.21912,57.25811,258.7607,201.0,1449.0,-5.77,-15.67
20180131T2200,-2.76,76.0,1027.0,0.0,0.0,45.0,0.0,0.0,45.0,23.6031,306.74057,33.985218,306.38437,43.56,270.0,58.769375,256.90015,208.0,1454.0,-6.02,-16.32
20180131T2300,-3.01,70.0,1027.7,0.0,0.0,10.0,0.0,0.0,10.0,21.650633,304.47223,30.85307,304.0609,40.42593,278.70737,53.639996,270.0,213.0,1457.0,-6.23,-16.68
20180201T0000,-2.99,66.0,1028.4,0.0,0.0,10.0,0.0,0.0,10.0,20.840586,302.4712,30.070238,301.78726,40.17993,282.41745,49.256893,276.29395,218.0,1462.0,-6.23,-16.34
20180201T0100,-2.88,65.0,1028.6,0.0,0.0,10.0,0.0,0.0,10.0,20.69021,304.50854,30.353355,303.87854,39.8447,288.43497,46.01386,284.03625,220.0,1465.0,-6.12,-15.99
20180201T0200,-2.72,66.0,1028.8,0.0,0.0,10.0,0.0,0.0,10.0,20.540459,303.89618,30.154163,303.31064,41.21646,289.38452,47.033417,286.90927,222.0,1467.0,-5.98,-15.87
20180201T0300,-2.47,66.0,1029.0,0.0,0.0,10.0,0.0,0.0,10.0,20.787735,300.83783,30.684587,301.07904,42.92311,292.6938,47.033417,286.90927,223.0,1469.0,-5.73,-15.91
20180201T0400,-2.26,65.0,1029.1,0.0,0.0,10.0,0.0,0.0,10.0,21.381815,300.7189,31.487139,300.96378,42.547066,293.9625,45.311398,289.01077,225.0,1472.0,-5.56,-15.47
20180201T0500,-2.08,64.0,1029.6,0.0,0.0,0.0,0.0,0.0,0.0,21.800896,302.5249,31.75355,302.96942,42.990993,297.42337,41.180286,292.08044,229.0,1477.0,-5.41,-15.24
20180201T0600,-1.91,63.0,1029.8,0.0,0.0,10.0,0.0,0.0,10.0,21.213537,305.28674,30.676142,305.9285,38.84832,302.51193,38.64764,295.37158,230.0,1478.0,-5.23,-15.3
20180201T0700,-1.75,64.0,1030.1,0.0,0.0,10.0,0.0,0.0,10.0,20.056223,309.61072,29.131096,309.98688,31.259941,308.45374,33.58628,300.96378,233.0,1481.0,-5.05,-15.45
20180201T0800,-1.71,63.0,1030.6,0.0,0.0,100.0,0.0,0.0,100.0,18.273176,314.40936,25.96995,313.8767,25.460934,316.14575,26.161375,304.3461,237.0,1485.0,-5.0,-15.58
20180201T0900,-1.72,64.0,1031.1,0.0,0.0,100.0,0.0,0.0,100.0,15.935085,321.789,22.322903,322.20605,21.096123,323.32565,16.80857,316.73572,240.0,1489.0,-4.96,-15.94
20180201T1000,-1.7,66.0,1031.4,0.0,0.0,100.0,0.0,0.0,100.0,13.824594,334.91644,19.813087,335.29758,14.986553,335.89777,11.440979,335.85446,243.0,1491.0,-4.92,-16.32
20180201T1100,-2.01,68.0,1031.5,0.0,0.0,100.0,0.0,0.0,100.0,11.566178,352.05652,16.343367,352.40536,9.36,360.0,8.669949,4.7636414,243.0,1492.0,-5.1,-16.33
20180201T1200,-0.4,68.0,1029.7,0.0,0.0,100.0,0.0,0.0,100.0,16.581125,23.682083,23.686249,24.227737,21.758419,38.955902,18.472595,33.07068,231.0,1488.0,-3.31,-14.9
20180201T1300,-0.05,74.0,1029.6,0.0,0.0,100.0,0.0,0.0,100.0,20.497225,27.897263,29.96662,28.720322,24.72495,42.04921,15.530151,44.06079,231.0,1489.0,-3.2,-14.14
20180201T1400,-0.13,75.0,1029.5,0.0,0.0,19.0,0.0,0.0,19.0,23.474964,27.728241,34.30594,28.178589,28.348713,40.364532,14.264361,42.954575,230.0,1487.0,-3.39,-14.15
20180201T1500,-0.15,79.0,1029.5,0.0,0.0,100.0,0.0,0.0,100.0,26.589336,24.253906,39.299404,24.921768,28.62396,50.102158,15.349684,39.289413,229.0,1487.0,-3.49,-14.03
20180201T1600,-0.84,87.0,1029.8,0.0,0.0,12.0,0.0,0.0,12.0,28.249706,15.87117,42.3792,16.279663,29.01743,52.561424,16.135872,51.34018,231.0,1488.0,-4.44,-13.95
20180201T1700,-1.59,87.0,1029.8,0.0,0.0,17.0,0.0,0.0,17.0,29.155895,12.131317,44.009903,13.240509,35.450405,55.341644,20.608229,62.987328,230.0,1488.0,-5.16,-13.69
20180201T1800,-1.43,83.0,1029.6,0.0,0.0,41.0,0.0,0.0,41.0,30.253706,12.200455,46.195168,13.061554,41.43911,55.61966,21.933426,66.8014,229.0,1487.0,-5.07,-13.23
20180201T1900,-1.54,84.0,1029.6,0.0,0.0,100.0,0.0,0.0,100.0,30.95059,13.438187,47.498177,14.03624,40.257275,64.5807,20.833395,80.04937,229.0,1488.0,-5.17,-13.02
20180201T2000,-1.57,84.0,1029.7,0.0,0.0,100.0,0.0,0.0,100.0,31.336838,14.272507,48.37414,14.656738,43.322823,64.92557,23.4,89.99999,229.0,1488.0,-5.26,-12.82
20180201T2100,-1.64,84.0,1029.9,0.0,0.0,100.0,0.0,0.0,100.0,31.272224,13.799484,47.93545,14.349319,45.14377,66.501434,26.220753,98.68635,230.0,1491.0,-5.32,-12.42
20180201T2200,-1.69,83.0,1029.9,0.0,0.0,100.0,0.0,0.0,100.0,31.669123,12.633362,48.38084,12.898743,47.271164,67.14517,28.202042,104.03624,230.0,1491.0,-5.38,-12.08
20180201T2300,-1.8,86.0,1029.7,0.0,0.0,100.0,0.0,0.0,100.0,32.7672,12.680374,49.78554,12.528793,48.412975,69.543686,30.659237,105.66815,229.0,1490.0,-5.5,-11.8
20180202T0000,-1.78,88.0,1029.9,0.0,0.0,100.0,0.0,0.0,100.0,34.245613,13.495728,52.214897,13.55719,49.635635,71.827866,32.79361,107.24146,231.0,1492.0,-5.53,-11.58
20180202T0100,-1.64,89.0,1029.2,0.0,0.0,100.0,0.0,0.0,100.0,36.122505,14.958633,54.93982,15.584381,52.25459,71.93952,34.494312,108.24586,225.0,1488.0,-5.24,-11.36
20180202T0200,-1.31,90.0,1028.4,0.0,0.0,100.0,0.0,0.0,100.0,37.586006,16.893723,58.17872,17.650116,54.656013,70.37156,36.59449,105.40342,220.0,1483.0,-4.85,-11.24
20180202T0300,-0.67,92.0,1028.0,0.2,0.14,100.0,0.0,0.0,100.0,37.299805,21.801407,56.689426,22.004105,57.035862,71.22196,38.50654,103.51656,217.0,1482.0,-4.03,-11.22
20180202T0400,0.06,93.0,1027.2,0.3,0.21000001,100.0,0.0,0.0,100.0,35.995556,28.272018,55.079998,28.07248,55.730278,74.25795,36.67232,103.62699,212.0,1478.0,-3.18,-11.25
20180202T0500,0.57,93.0,1027.2,0.3,0.21000001,100.0,0.0,0.0,100.0,35.028305,34.777817,52.939587,35.311203,54.055172,74.94568,32.48788,102.80426,212.0,1479.0,-2.56,-11.14
20180202T0600,0.65,92.0,1027.2,0.3,0.21000001,100.0,0.0,0.0,100.0,34.21244,40.262543,51.273148,41.299454,52.32399,77.68498,30.574575,102.23611,213.0,1480.0,-2.52,-11.06
20180202T0700,0.56,91.0,1027.5,0.2,0.14,100.0,0.0,0.0,100.0,34.286003,44.370377,50.911686,44.999985,51.19726,79.87532,29.301876,100.61965,215.0,1481.0,-2.61,-11.05
20180202T0800,0.51,92.0,1027.9,0.3,0.21000001,100.0,0.0,0.0,100.0,33.723545,45.96016,50.412857,46.157333,50.505318,82.21644,29.951483,103.20108,218.0,1484.0,-2.64,-11.12
20180202T0900,0.48,91.0,1028.1,0.2,0.14,100.0,0.0,0.0,100.0,34.121044,47.214752,50.734455,48.16388,49.74387,82.51496,29.620802,106.23234,219.0,1485.0,-2.78,-11.0
20180202T1000,0.39,90.0,1028.1,0.2,0.14,100.0,0.0,0.0,100.0,34.734314,48.731384,52.32399,49.184906,51.19726,79.87532,29.487053,107.77132,219.0,1485.0,-2.93,-10.82
20180202T1100,0.28,88.0,1027.8,0.1,0.07,100.0,0.0,0.0,100.0,35.44722,51.40744,53.80525,51.51979,52.826855,75.395546,31.353085,105.31281,216.0,1481.0,-3.01,-10.87
20180202T1200,1.55,88.0,1027.2,0.1,0.07,100.0,0.0,0.0,100.0,28.405035,69.69552,42.136917,70.016884,39.797504,84.289406,17.782688,68.62937,213.0,1483.0,-1.44,-11.29
20180202T1300,1.55,86.0,1026.9,0.1,0.07,100.0,0.0,0.0,100.0,29.909258,70.75812,44.513527,71.12544,40.42593,81.29263,19.64228,63.904564,211.0,1480.0,-1.48,-11.36
20180202T1400,1.42,82.0,1026.5,0.0,0.0,100.0,0.0,0.0,100.0,31.50736,71.25865,47.01688,71.703766,39.468872,75.20324,22.104116,59.67639,208.0,1475.0,-1.63,-11.31
20180202T1500,1.2,82.0,1026.2,0.0,0.0,100.0,0.0,0.0,100.0,32.274002,70.21892,48.16606,70.346176,38.600662,70.38212,25.809765,59.858604,205.0,1472.0,-1.89,-11.25
20180202T1600,1.24,83.0,1026.1,0.0,0.0,100.0,0.0,3.0,100.0,32.40239,68.286064,48.80092,68.35556,42.033756,73.58276,28.533264,60.524117,204.0,1471.0,-1.84,-11.18
20180202T1700,1.13,82.0,1025.9,0.0,0.0,100.0,0.0,47.0,100.0,33.16225,66.31792,49.82327,66.58396,45.92928,68.86575,29.47826,61.55706,202.0,1469.0,-1.93,-11.03
20180202T1800,0.99,82.0,1025.5,0.0,0.0,100.0,0.0,100.0,100.0,32.78452,65.51752,48.98117,65.69545,46.240032,65.629875,28.820242,64.0751,200.0,1466.0,-2.09,-10.88
20180202T1900,0.9,83.0,1025.5,0.0,0.0,100.0,0.0,100.0,100.0,32.528088,64.274376,48.630653,64.573135,46.210594,62.636444,28.66468,64.722275,200.0,1466.0,-2.17,-10.77
20180202T2000,0.83,83.0,1025.2,0.0,0.0,100.0,0.0,100.0,100.0,32.6446,63.85315,48.786304,64.191284,47.421715,59.93141,29.07989,68.19859,197.0,1463.0,-2.23,-10.52
20180202T2100,0.88,85.0,1024.8,0.0,0.0,100.0,0.0,100.0,100.0,32.768284,64.47658,48.956028,64.75402,47.86917,60.736122,31.89608,69.519646,194.0,1461.0,-2.16,-10.19
20180202T2200,0.86,84.0,1024.5,0.0,0.0,100.0,0.0,100.0,100.0,32.768284,64.47658,49.11065,64.37412,50.714024,63.43495,34.404022,76.69082,192.0,1459.0,-2.17,-9.96
20180202T2300,0.97,85.0,1024.2,0.0,0.0,100.0,0.0,100.0,100.0,32.532448,62.175903,48.625324,62.676117,52.502018,69.94976,36.258274,83.15723,190.0,1457.0,-1.95,-9.92
20180203T0000,1.07,85.0,1024.0,0.0,0.0,100.0,0.0,100.0,100.0,32.81157,60.312813,49.341015,60.25511,50.555332,75.56793,38.18716,87.83892,188.0,1456.0,-1.87,-9.56
20180203T0100,1.27,88.0,1023.2,0.0,0.0,100.0,0.0,100.0,100.0,33.181503,57.458244,49.837574,57.687508,50.488636,77.64844,37.44692,88.89829,182.0,1451.0,-1.54,-9.36
20180203T0200,1.54,90.0,1022.2,0.0,0.0,100.0,0.0,100.0,100.0,33.94588,58.8049,51.182076,59.105347,53.109455,74.26799,34.567497,91.19349,174.0,1445.0,-1.17,-9.49
20180203T0300,1.76,87.0,1021.2,0.0,0.0,100.0,0.0,100.0,100.0,34.90755,63.239395,52.646233,63.610153,55.633686,74.614815,36.721764,90.5617,167.0,1437.0,-0.83,-9.05
20180203T0400,1.78,86.0,1020.6,0.0,0.0,100.0,0.0,100.0,100.0,35.631935,64.77607,54.110287,64.79888,57.25811,78.76071,41.773964,91.48145,162.0,1433.0,-0.81,-8.87
20180203T0500,1.99,89.0,1020.1,0.0,0.0,100.0,0.0,100.0,100.0,36.066467,67.41269,54.221542,67.35087,57.247925,83.500656,43.956867,92.34687,159.0,1430.0,-0.51,-9.11
20180203T0600,2.02,89.0,1019.4,0.0,0.0,100.0,0.0,100.0,100.0,36.325275,69.8374,55.116455,70.14478,60.68963,85.23635,46.50832,93.10602,153.0,1424.0,-0.48,-9.97
20180203T0700,1.87,93.0,1018.7,0.2,0.14,100.0,0.0,100.0,100.0,38.86976,65.71854,59.946213,65.89776,65.74215,85.28847,48.908356,105.36608,148.0,1421.0,-0.55,-9.49
20180203T0800,2.38,92.0,1018.0,0.2,0.14,100.0,0.0,100.0,100.0,41.473778,64.9164,63.940296,65.02208,69.68952,85.55589,49.61474,83.751625,142.0,1417.0,-0.33,-9.31
20180203T0900,2.83,90.0,1017.4,0.0,0.0,100.0,0.0,100.0,100.0,41.616425,71.333084,63.638584,71.87253,71.75929,83.37412,52.56,89.99999,138.0,1413.0,0.18,-9.16
20180203T1000,2.67,91.0,1016.6,0.0,0.0,100.0,0.0,84.0,100.0,43.36514,74.683136,67.505516,74.85207,75.63856,80.13419,48.374138,85.73209,132.0,1408.0,-0.06,-8.21
20180203T1100,2.55,90.0,1015.8,0.0,0.0,100.0,0.0,100.0,100.0,44.841534,75.55097,69.41376,75.89168,73.29338,77.80696,45.725666,89.09777,125.0,1401.0,-0.14,-8.1
20180203T1200,1.07,94.0,1015.0,0.5,0.35,100.0,0.0,11.0,100.0,40.5147,76.69476,64.43899,76.42956,67.661804,81.740555,64.335335,99.9894,119.0,1391.0,-1.04,-8.27
20180203T1300,1.9,93.0,1013.3,0.2,0.14,100.0,0.0,100.0,100.0,45.24802,70.391556,71.05054,70.46334,67.715416,79.586174,62.827995,97.572945,106.0,1382.0,-0.52,-7.77
20180203T1400,2.04,90.0,1012.2,0.0,0.0,100.0,0.0,100.0,100.0,47.837162,68.435585,74.33804,68.404686,76.11084,78.26487,66.24098,90.31138,97.0,1372.0,-0.26,-8.2
20180203T1500,1.16,95.0,1012.3,0.9,0.63,100.0,0.0,100.0,100.0,40.862667,67.782394,64.44402,68.02028,76.39128,78.58416,69.97348,93.53956,97.0,1371.0,-0.72,-8.74
20180203T1600,1.09,96.0,1011.7,1.3,0.90999997,100.0,0.0,100.0,100.0,38.38472,65.391495,59.766502,65.441795,79.30547,77.414764,75.12968,94.67244,92.0,1365.0,-0.65,-9.14
20180203T1700,1.08,96.0,1011.1,1.4,0.97999996,100.0,0.0,100.0,100.0,37.436546,65.62353,57.862648,66.14609,76.81593,78.37409,70.686615,96.72688,88.0,1361.0,-0.62,-9.64
20180203T1800,0.99,96.0,1010.4,0.9,0.63,100.0,0.0,100.0,100.0,37.888786,64.15562,58.926838,63.904564,77.04084,77.58736,74.57823,105.10957,82.0,1355.0,-0.67,-9.59
20180203T1900,0.96,96.0,1009.7,0.9,0.63,100.0,0.0,100.0,100.0,36.59099,61.755753,56.689426,61.970314,71.51053,76.31353,75.93952,107.66189,77.0,1350.0,-0.63,-8.82
20180203T2000,1.0,95.0,1009.1,0.8,0.56,100.0,0.0,100.0,100.0,34.80473,61.66954,54.2753,61.90515,68.19221,76.2572,68.101875,106.90231,73.0,1346.0,-0.53,-8.35
20180203T2100,0.98,92.0,1008.9,0.6,0.42000002,100.0,0.0,10.0,100.0,33.741432,61.209015,52.178894,62.020523,66.19009,76.795166,57.493027,109.00221,70.0,1343.0,-0.56,-8.31
20180203T2200,0.97,94.0,1008.4,0.5,0.35,100.0,0.0,0.0,100.0,31.711672,58.045624,48.961327,58.530495,65.171936,77.88314,45.258457,114.93429,67.0,1340.0,-0.47,-8.34
20180203T2300,1.08,95.0,1008.1,0.5,0.35,100.0,0.0,0.0,100.0,29.416397,51.98848,45.656174,52.045753,57.478374,77.70473,42.241364,119.62375,64.0,1340.0,-0.28,-7.91
20180204T0000,1.21,95.0,1008.1,0.7,0.48999998,100.0,0.0,1.0,100.0,27.31477,44.60486,42.765812,44.999985,49.986877,78.36636,35.362556,125.46987,64.0,1341.0,-0.09,-7.89
20180204T0100,1.29,95.0,1007.6,0.7,0.48999998,100.0,0.0,0.0,100.0,26.685247,31.944733,41.638786,33.003098,46.287655,74.66671,32.20944,117.99715,61.0,1339.0,0.05,-7.89
20180204T0200,1.13,95.0,1007.0,0.7,0.48999998,100.0,0.0,0.0,100.0,29.998106,19.722275,46.812458,20.246613,41.213318,72.19812,22.077717,114.05734,56.0,1335.0,-0.17,-7.97
20180204T0300,0.73,93.0,1006.3,0.3,0.21000001,100.0,0.0,0.0,100.0,33.75194,11.842072,52.32399,12.315002,32.096577,66.88579,0.0,180.0,50.0,1330.0,-0.56,-8.24
20180204T0400,0.94,93.0,1005.8,0.0,0.0,100.0,0.0,0.0,100.0,32.714092,6.54628,50.412853,6.972763,19.373219,48.01277,19.255793,290.8068,46.0,1327.0,-0.27,-8.55
20180204T0500,1.26,90.0,1005.5,0.0,0.0,100.0,0.0,0.0,100.0,30.107914,1.013977,45.742672,1.8039856,14.04,360.0,28.551426,293.00888,43.0,1324.0,0.16,-8.96
20180204T0600,1.58,87.0,1004.8,0.0,0.0,100.0,0.0,0.0,100.0,27.459883,357.77606,41.054203,358.49255,19.174856,320.33215,33.043606,293.77234,38.0,1319.0,0.59,-9.12
20180204T0700,1.9,84.0,1004.5,0.0,0.0,13.0,0.0,0.0,13.0,23.170675,351.4041,34.213257,351.52887,26.208397,307.1847,37.038036,295.3197,36.0,1318.0,1.03,-9.01
20180204T0800,2.17,81.0,1004.3,0.0,0.0,3.0,0.0,0.0,3.0,18.028807,341.0296,25.620771,340.29205,29.162222,298.77982,38.67278,294.1791,34.0,1316.0,1.42,-9.04
20180204T0900,2.28,79.0,1004.3,0.0,0.0,10.0,0.0,0.0,10.0,13.32,323.13013,18.218275,322.22433,31.09575,290.32315,38.175278,290.99872,34.0,1316.0,1.64,-9.22
20180204T1000,2.55,75.0,1004.2,0.0,0.0,10.0,0.0,0.0,10.0,12.384018,288.8247,17.76081,287.70044,32.058193,282.31946,36.896046,287.0205,34.0,1316.0,1.95,-9.09
20180204T1100,2.81,72.0,1003.9,0.0,0.0,10.0,0.0,0.0,10.0,18.1152,270.0,26.642431,270.77423,33.55733,279.26022,37.38457,285.64224,31.0,1313.0,2.19,-9.2
20180204T1200,1.8,76.0,1005.3,0.0,0.0,2.0,0.0,0.0,2.0,13.73188,341.91656,19.469975,340.55997,33.532215,284.93143,33.01418,297.96222,42.0,1322.0,1.06,-8.87
20180204T1300,1.98,75.0,1005.0,0.0,0.0,10.0,0.0,0.0,10.0,11.615162,323.39294,16.135872,321.3402,34.29838,290.908,31.575506,298.61047,40.0,1320.0,1.31,-8.92
20180204T1400,2.2,74.0,1004.7,0.0,0.0,10.0,0.0,0.0,10.0,11.526227,303.69006,15.496736,300.73547,31.624725,292.7704,30.911821,296.26666,37.0,1318.0,1.54,-9.09
20180204T1500,2.34,71.0,1004.5,0.0,0.0,10.0,0.0,0.0,10.0,13.229114,295.0169,19.008547,294.62357,28.99062,294.97394,28.36471,293.9625,36.0,1316.0,1.68,-9.33
